seed,policy,service_level,net_business_value,total_cost,revenue,unmet_demand,stockout_events,ending_stock,pending_operations,runtime_seconds,ml_fallback_count,fulfilled_units,ending_stock_unit_days,normal_order_units,expedite_order_units,transferred_units
101,ML_DECISION_TREE,0.6096277498644664,637414.5499999998,7256545.45,7893960.0,252743,14104,3314,56,209.67997240000113,873,394698,1204909,36878,345636,442293
101,RULE_BASED,0.5596582654871634,145822.75,7096737.25,7242560.0,284924,17474,1974,56,4.9873515000072075,0,362128,812385,41151,307236,446842
102,ML_DECISION_TREE,0.6842837087502832,2286568.3499999996,7920111.65,10206680.0,235459,12789,2139,103,234.72030670000822,245,510334,1003213,156431,338810,410152
102,RULE_BASED,0.6734802706504991,2199350.55,7853689.45,10053040.0,243698,13766,1390,104,12.895531000001938,0,502652,728149,168598,317980,423200
103,ML_DECISION_TREE,0.7010608667275439,2925487.0,6870773.0,9796260.0,208861,11878,2228,135,243.23696510000445,331,489813,952260,241281,235356,259262
103,RULE_BASED,0.684951636027336,2668368.8499999996,6915351.15,9583720.0,220405,13692,1745,122,15.984586000005947,0,479186,806583,250457,215294,311554
104,ML_DECISION_TREE,0.9988412676643706,8408055.4,5866864.6,14274920.0,828,239,3138,229,389.45650240000396,15,713746,1308832,659802,42573,594
104,RULE_BASED,0.9982306821516918,8467836.2,5817443.8,14285280.0,1266,313,3108,230,92.8472907999967,0,714264,1281296,675021,27874,1651
105,ML_DECISION_TREE,0.6314730586301397,2303986.6500000004,7783833.35,10087820.0,294362,18290,1674,85,235.06290330000047,109,504391,793347,223030,264238,282824
105,RULE_BASED,0.6120296815149397,2085404.25,7686775.75,9772180.0,309733,18637,1423,81,13.402247199992416,0,488609,721055,226692,244702,288220
106,ML_DECISION_TREE,0.7426984863152063,2893154.7,6651085.3,9544240.0,165326,9375,3627,92,241.11375849999604,600,477212,1373046,223371,242611,328901
106,RULE_BASED,0.728498172375787,2731244.0999999996,6627975.9,9359220.0,174403,10749,2764,99,15.48578770000313,0,467961,1125978,226248,230266,341679
107,ML_DECISION_TREE,0.6819328021732706,1787222.9500000002,6888217.05,8675440.0,202320,13383,1935,82,257.33049830001255,132,433772,830001,102770,318180,328951
107,RULE_BASED,0.6712794868322852,1692291.4500000002,6834488.55,8526780.0,208775,14086,1539,80,12.61116289999336,0,426339,631131,110442,302766,340702
108,ML_DECISION_TREE,0.9269432670606662,5701534.45,5412385.55,11113920.0,43797,2698,3026,217,404.7291673,77,555696,1183911,430217,116514,91527
108,RULE_BASED,0.9224949551644416,5715631.65,5329068.35,11044700.0,46397,3246,2484,229,92.3561056000035,0,552235,1014167,447343,95091,99496
109,ML_DECISION_TREE,0.6858388340712498,2735643.4000000004,8309036.6,11044680.0,252961,15487,2001,71,278.72728940000525,86,552234,944672,188538,345792,349527
109,RULE_BASED,0.6532282540014229,2364122.1500000004,8139317.85,10503440.0,278792,16832,1527,74,15.35165440000128,0,525172,699237,190611,316488,344030
110,ML_DECISION_TREE,0.6176164788696882,798139.0499999998,7530060.95,8328200.0,257811,14709,3135,61,246.02733320000698,132,416410,1305679,39041,364273,433291
110,RULE_BASED,0.557669516979509,97742.09999999963,7421817.9,7519560.0,298217,18200,1964,47,8.162964399991324,0,375978,776878,36668,325070,472244
111,ML_DECISION_TREE,0.77418545082607,3593617.5999999996,8804482.4,12398100.0,180814,9479,3630,89,273.14756639998814,125,619905,1555028,176544,428867,423058
111,RULE_BASED,0.7316210736454661,3218733.8499999996,8508786.15,11727520.0,215099,11814,1741,95,15.82531210000161,0,586376,928523,201974,368824,417368
112,ML_DECISION_TREE,0.6861618573645627,1498112.5,8679767.5,10177880.0,232759,12854,4276,52,277.1860278999957,314,508894,1623310,45310,450626,555353
112,RULE_BASED,0.643923704691386,985518.0999999996,8547501.9,9533020.0,263578,14888,2317,53,10.840095899999142,0,476651,1088158,43304,418208,587249
113,ML_DECISION_TREE,0.7116783075143904,2682613.7,6031346.3,8713960.0,176514,13333,2157,104,305.3699290000077,496,435698,898706,238025,185562,231529
113,RULE_BASED,0.699722882349775,2551719.0,6028241.0,8579960.0,184099,14219,1910,101,44.79762539999501,0,428998,823000,237733,178972,238747
114,ML_DECISION_TREE,0.8326561683631093,5433760.3,7538739.7,12972500.0,130358,8830,1539,178,321.6277880999987,28,648625,833554,368010,265639,181208
114,RULE_BASED,0.8141923640098783,5353363.1,7313336.9,12666700.0,144534,9546,921,181,64.4502829000121,0,633335,593338,395650,222262,172736
115,ML_DECISION_TREE,0.5688422708074191,2136014.7,7760225.3,9896240.0,375046,21572,1395,92,281.1924776999949,24,494812,661266,285649,190204,184973
115,RULE_BASED,0.5755309725871436,2172010.4000000004,7847189.6,10019200.0,369471,21748,1377,89,42.12028429999191,0,500960,655232,286333,195427,209057
116,ML_DECISION_TREE,0.6331958272828501,1488563.4500000002,6290576.55,7779140.0,225319,16730,1443,79,264.023329299991,387,388957,650811,143192,232689,275034
116,RULE_BASED,0.6267498389269607,1431168.8499999996,6273191.15,7704360.0,229410,17140,1295,75,21.162097199994605,0,385218,593663,143897,227621,277960
117,ML_DECISION_TREE,0.9984584889971542,8034704.9,5606155.1,13640860.0,1053,354,2140,299,560.0507393000007,9,682043,943422,628445,42923,590
117,RULE_BASED,0.997785674352167,8126880.25,5508419.75,13635300.0,1513,526,2100,300,141.54780060000485,0,681765,893235,653457,17657,995
118,ML_DECISION_TREE,0.8413335200651864,6284955.0,6931385.0,13216340.0,124623,7112,2010,197,451.97436330000346,14,660817,890420,507610,138309,120369
118,RULE_BASED,0.8380744121753807,6265677.4,6903002.6,13168680.0,127217,7036,1974,196,84.78538899999694,0,658434,870172,513342,130376,124522
119,ML_DECISION_TREE,0.6821535029645236,1456132.3499999996,9002167.65,10458300.0,243650,11310,4590,44,290.72116520001146,176,522915,1948673,24779,484594,573362
119,RULE_BASED,0.6174066356787947,836295.3499999996,8639624.65,9475920.0,293601,15262,1843,53,8.62633790000109,0,473796,930093,45971,412044,568834
120,ML_DECISION_TREE,0.6663000104376591,971671.4000000004,7327028.6,8298700.0,207810,13778,3522,55,299.32700950000435,880,414935,1310652,49585,354328,510785
120,RULE_BASED,0.6272206391321627,622204.9000000004,7174135.1,7796340.0,231682,15766,2804,52,8.55550729999959,0,389817,993822,50315,327213,505563
121,ML_DECISION_TREE,0.8000286735661877,4859746.45,7081993.55,11941740.0,149245,8977,2079,168,437.92047090000415,52,597087,871491,353792,229102,169482
